Año,Lenguaje,Salario Promedio (USD),País Predominante
2010,Java,75000,Estados Unidos
2010,C++,70000,Estados Unidos
2010,Python,72000,Estados Unidos
2010,JavaScript,68000,Estados Unidos
2010,C#,72000,Estados Unidos
2010,PHP,65000,India
2010,Ruby,68000,Estados Unidos
2010,Perl,67000,Estados Unidos
2010,Swift,70000,Estados Unidos
2010,Objective-C,69000,Estados Unidos
2010,SQL,68000,Estados Unidos
2010,Visual Basic,65000,Estados Unidos
2011,Java,78000,Estados Unidos
2011,C++,72000,Estados Unidos
2011,Python,75000,Estados Unidos
2011,JavaScript,70000,Estados Unidos
2011,C#,75000,Estados Unidos
2011,PHP,68000,India
2011,Ruby,70000,Estados Unidos
2011,Perl,69000,Estados Unidos
2011,Swift,72000,Estados Unidos
2011,Objective-C,71000,Estados Unidos
2011,SQL,70000,Estados Unidos
2011,Visual Basic,67000,Estados Unidos
2012,Java,80000,Estados Unidos
2012,C++,73000,Estados Unidos
2012,Python,78000,Estados Unidos
2012,JavaScript,75000,Estados Unidos
2012,C#,78000,Estados Unidos
2012,PHP,70000,India
2012,Ruby,73000,Estados Unidos
2012,Perl,72000,Estados Unidos
2012,Swift,75000,Estados Unidos
2012,Objective-C,74000,Estados Unidos
2012,SQL,73000,Estados Unidos
2012,Visual Basic,70000,Estados Unidos
2013,Java,82000,Estados Unidos
2013,C++,74000,Estados Unidos
2013,Python,80000,Estados Unidos
2013,JavaScript,78000,Estados Unidos
2013,C#,80000,Estados Unidos
2013,PHP,72000,India
2013,Ruby,75000,Estados Unidos
2013,Perl,74000,Estados Unidos
2013,Swift,78000,Estados Unidos
2013,Objective-C,76000,Estados Unidos
2013,SQL,75000,Estados Unidos
2013,Visual Basic,72000,Estados Unidos
2014,Java,85000,Estados Unidos
2014,C++,76000,Estados Unidos
2014,Python,82000,Estados Unidos
2014,JavaScript,80000,Estados Unidos
2014,C#,82000,Estados Unidos
2014,PHP,75000,India
2014,Ruby,78000,Estados Unidos
2014,Perl,77000,Estados Unidos
2014,Swift,80000,Estados Unidos
2014,Objective-C,79000,Estados Unidos
2014,SQL,78000,Estados Unidos
2014,Visual Basic,75000,Estados Unidos
2015,Java,87000,Estados Unidos
2015,C++,77000,Estados Unidos
2015,Python,85000,Estados Unidos
2015,JavaScript,82000,Estados Unidos
2015,C#,85000,Estados Unidos
2015,PHP,78000,India
2015,Ruby,80000,Estados Unidos
2015,Perl,79000,Estados Unidos
2015,Swift,82000,Estados Unidos
2015,Objective-C,81000,Estados Unidos
2015,SQL,80000,Estados Unidos
2015,Visual Basic,77000,Estados Unidos
2016,Java,90000,Estados Unidos
2016,C++,80000,Estados Unidos
2016,Python,88000,Estados Unidos
2016,JavaScript,85000,Estados Unidos
2016,C#,88000,Estados Unidos
2016,PHP,80000,India
2016,Ruby,83000,Estados Unidos
2016,Perl,82000,Estados Unidos
2016,Swift,85000,Estados Unidos
2016,Objective-C,84000,Estados Unidos
2016,SQL,82000,Estados Unidos
2016,Visual Basic,79000,Estados Unidos
2017,Java,92000,Estados Unidos
2017,C++,82000,Estados Unidos
2017,Python,90000,Estados Unidos
2017,JavaScript,88000,Estados Unidos
2017,C#,90000,Estados Unidos
2017,PHP,82000,India
2017,Ruby,86000,Estados Unidos
2017,Perl,85000,Estados Unidos
2017,Swift,88000,Estados Unidos
2017,Objective-C,87000,Estados Unidos
2017,SQL,85000,Estados Unidos
2017,Visual Basic,82000,Estados Unidos
2018,Java,95000,Estados Unidos
2018,C++,84000,Estados Unidos
2018,Python,92000,Estados Unidos
2018,JavaScript,90000,Estados Unidos
2018,C#,92000,Estados Unidos
2018,PHP,85000,India
2018,Ruby,88000,Estados Unidos
2018,Perl,87000,Estados Unidos
2018,Swift,90000,Estados Unidos
2018,Objective-C,89000,Estados Unidos
2018,SQL,88000,Estados Unidos
2018,Visual Basic,85000,Estados Unidos
2019,Java,97000,Estados Unidos
2019,C++,86000,Estados Unidos
2019,Python,95000,Estados Unidos
2019,JavaScript,92000,Estados Unidos
2019,C#,95000,Estados Unidos
2019,PHP,88000,India
2019,Ruby,90000,Estados Unidos
2019,Perl,89000,Estados Unidos
2019,Swift,92000,Estados Unidos
2019,Objective-C,91000,Estados Unidos
2019,SQL,90000,Estados Unidos
2019,Visual Basic,87000,Estados Unidos
2020,Java,100000,Estados Unidos
2020,C++,88000,Estados Unidos
2020,Python,98000,Estados Unidos
2020,JavaScript,95000,Estados Unidos
2020,C#,98000,Estados Unidos
2020,PHP,90000,India
2020,Ruby,92000,Estados Unidos
2020,Perl,91000,Estados Unidos
2020,Swift,95000,Estados Unidos
2020,Objective-C,94000,Estados Unidos
2020,SQL,92000,Estados Unidos
2020,Visual Basic,89000,Estados Unidos
